Device Open: Analog Discovery 3 (210415BD076B)
Config: NaCl=0, KCl=0, Urea=0, Lac=0, NH4Cl=0, CaCl2=0, Glu=0
--------------------------------------------------
1000000.0000, 23.8671, -96.2235, 99.1393, -76.0696
754312.0063, 40.1299, -127.2695, 133.4464, -72.4992
568986.6029, 41.6077, -165.1879, 170.3474, -75.8624
429193.4260, 75.0563, -214.4754, 227.2293, -70.7124
323745.7543, 114.9951, -280.0111, 302.7046, -67.6730
244205.3095, 163.9645, -353.7566, 389.9078, -65.1325
184206.9969, 251.6663, -414.7096, 485.0979, -58.7486
138949.5494, 367.0819, -461.9103, 590.0087, -51.5257
104811.3134, 501.0009, -482.9838, 695.8989, -43.9510
79060.4321, 629.0095, -457.9464, 778.0539, -36.0563
59636.2332, 747.7096, -415.9951, 855.6410, -29.0898
44984.3267, 833.0261, -352.2186, 904.4283, -22.9195
33932.2177, 891.7523, -285.1986, 936.2481, -17.7352
25595.4792, 930.8120, -224.1001, 957.4089, -13.5368
19306.9773, 953.8301, -174.6462, 969.6872, -10.3759
14563.4848, 967.2450, -134.1161, 976.4989, -7.8942
10985.4114, 975.5372, -102.7069, 980.9289, -6.0101
8286.4277, 980.8218, -78.3192, 983.9438, -4.5654
6250.5519, 983.3837, -59.5577, 985.1856, -3.4658
4714.8664, 985.1354, -45.2789, 986.1754, -2.6316
3556.4803, 985.9599, -34.6838, 986.5697, -2.0147
2682.6958, 986.8917, -26.4973, 987.2474, -1.5380
2023.5896, 987.1695, -20.5053, 987.3824, -1.1900
1526.4180, 987.6791, -16.2618, 987.8129, -0.9433
1151.3954, 987.6951, -12.8142, 987.7783, -0.7433
868.5114, 987.6308, -10.7486, 987.6893, -0.6235
655.1286, 987.9426, -9.3750, 987.9870, -0.5437
494.1713, 988.1012, -8.6778, 988.1393, -0.5032
372.7594, 988.2728, -8.7084, 988.3112, -0.5049
281.1769, 988.0304, -9.6595, 988.0777, -0.5601
212.0951, 988.1187, -11.1248, 988.1814, -0.6450
159.9859, 988.3417, -13.7567, 988.4375, -0.7974
120.6793, 988.3315, -17.1495, 988.4802, -0.9941
91.0298, 988.4832, -21.8681, 988.7250, -1.2673
68.6649, 988.7461, -28.4499, 989.1553, -1.6482
51.7947, 988.6896, -37.1339, 989.3867, -2.1509
39.0694, 989.8671, -48.8860, 991.0735, -2.8273
29.4705, 989.2521, -63.5591, 991.2919, -3.6762
22.2300, 989.7537, -83.7305, 993.2891, -4.8356
16.7683, 992.4403, -112.2992, 998.7737, -6.4558
12.6486, 993.6320, -148.6319, 1004.6870, -8.5075
9.5410, 995.7819, -196.3094, 1014.9478, -11.1523
7.1969, 992.1624, -255.4426, 1024.5180, -14.4378
5.4287, 997.7848, -342.1198, 1054.8083, -18.9258
4.0949, 1006.4204, -458.3962, 1105.8974, -24.4879
3.0888, 1013.8268, -609.1527, 1182.7560, -30.9993
2.3300, 1019.4923, -804.4230, 1298.6381, -38.2749
1.7575, 1021.7791, -1058.0681, 1470.8979, -45.9996
1.3257, 1031.1808, -1395.0229, 1734.7688, -53.5287
